,DEC_LAT,DEC_LONG,DRINKING_DRIVER,CELL_PHONE,RUNNING_RED_LT,AGGRESSIVE_DRIVING,DISTRACTED,DRUGGED_DRIVER,ILLEGAL_DRUG_RELATED,RUNNING_STOP_SIGN,NEIGHBORHOOD
2966,40.4529,-79.8853,0,0,0,1,0,0,0,0,East Hills
2967,40.4362,-79.9191,0,0,0,0,0,0,0,0,Squirrel Hill South
2968,40.4528,-79.9261,0,0,0,1,0,0,0,0,Shadyside
2970,40.4805,-80.0318,0,0,0,0,0,0,0,0,Brighton Heights
2971,40.4289,-79.9297,1,0,0,0,0,0,0,0,Squirrel Hill South
2972,40.4788,-80.0432,0,0,0,0,0,0,0,0,Brighton Heights
2973,40.4734,-80.0387,0,0,0,0,0,0,0,0,Brighton Heights
2976,40.4381,-80.0137,0,0,0,0,0,0,0,0,South Shore
2977,40.4492,-80.005,0,0,0,1,0,0,0,1,North Shore
2978,40.4937,-80.0221,0,0,0,0,0,0,0,0,Perry North
2979,40.4646,-80.0099,0,0,0,0,1,0,0,0,Fineview
2980,40.4573,-79.9978,1,0,0,1,0,0,0,0,East Allegheny
2981,40.493,-80.0114,0,0,0,1,0,0,0,0,Perry North
2982,40.4169,-80.0144,0,0,0,0,0,0,0,0,Mount Washington
2983,40.4417,-80.0353,0,0,0,0,0,0,0,0,West End
2984,40.3962,-79.9982,0,0,0,1,0,0,0,0,Brookline
2985,40.4666,-79.9565,0,0,0,1,0,0,0,0,Central Lawrenceville
2987,40.4577,-79.9954,0,0,0,1,0,0,0,1,East Allegheny
2989,40.47,-80.0367,0,0,0,0,0,0,0,0,Marshall-Shadeland
2990,40.4495,-80.0241,0,0,0,0,1,0,0,0,Chateau
2991,40.4492,-80.005,0,0,1,1,0,0,0,0,North Shore
2992,40.4566,-79.9899,0,0,0,0,0,0,0,0,Troy Hill
2993,40.4036,-80.0404,0,0,0,0,0,0,0,0,Banksville
2994,40.4258,-80.0198,0,0,0,1,0,0,0,0,Mount Washington
2995,40.3846,-79.9951,0,0,1,1,0,0,0,0,Overbrook
2997,40.4317,-80.0138,0,0,0,0,0,0,0,0,Mount Washington
2998,40.4234,-79.9855,0,0,0,0,0,0,0,0,South Side Slopes
3005,40.4218,-80.0007,0,0,0,0,0,0,0,0,Mount Washington
3006,40.4338,-80.0067,0,0,0,1,0,0,0,0,South Shore
3008,40.4128,-79.9962,0,0,0,0,0,0,0,0,Knoxville
3009,40.411,-79.9555,0,0,0,0,0,0,0,0,South Side Flats
3010,40.4017,-80.0006,0,0,0,0,0,0,0,0,Brookline
3011,40.4133,-80.0089,0,0,0,0,0,0,0,0,Bon Air
3012,40.4106,-80.0228,0,0,0,0,0,0,0,0,Beechview
3013,40.4288,-80.0241,1,0,0,1,0,0,0,0,Duquesne Heights
3014,40.4267,-80.0572,1,0,0,1,0,1,0,0,Oakwood
3016,40.4218,-79.9739,0,0,0,0,0,0,0,0,South Side Slopes
3018,40.4117,-79.9929,0,0,0,0,0,0,0,0,Knoxville
3019,40.4408,-80.0091,0,0,0,0,1,0,0,0,Central Business District
3024,40.4374,-80.0025,0,0,0,0,0,0,0,0,Central Business District
3025,40.4557,-79.9659,1,0,0,0,0,0,0,0,Polish Hill
3028,40.4405,-79.9915,0,0,1,1,0,0,0,0,Central Business District
3033,40.4507,-79.983,0,0,0,0,0,0,0,0,Strip District
3034,40.3931,-79.9911,0,0,0,1,0,0,0,0,Carrick
3035,40.4164,-80.0251,0,0,0,0,0,0,0,0,Beechview
3036,40.3836,-79.9957,0,0,0,0,0,0,0,0,Overbrook
3037,40.4255,-80.0051,0,0,0,1,0,0,0,0,Mount Washington
3039,40.4287,-79.9885,0,0,0,0,0,0,0,0,South Side Flats
3040,40.4571,-80.07,0,0,0,1,0,0,0,0,Chartiers City
3041,40.4364,-80.0342,0,0,0,0,0,0,0,0,West End
3042,40.4293,-79.9992,0,0,0,0,0,0,0,0,South Shore
3043,40.436,-80.0377,0,0,0,0,1,0,0,0,West End
3045,40.435,-80.0504,0,0,0,1,0,0,0,0,Westwood
3046,40.411,-80.006,0,0,0,1,0,0,0,0,Bon Air
3047,40.4258,-80.0199,0,0,0,0,1,0,0,0,Duquesne Heights
3049,40.4744,-79.9082,0,0,0,1,0,0,0,0,Lincoln-Lemington-Belmar
3057,40.442,-80.009,0,0,0,1,0,0,0,0,Central Business District
3058,40.4315,-79.9589,0,0,0,1,0,0,0,0,South Oakland
3060,40.4288,-79.9562,0,0,0,0,0,0,0,0,South Oakland
3063,40.427,-79.9198,0,0,0,0,1,0,0,0,Squirrel Hill South
3064,40.4369,-80.0024,0,0,0,1,0,0,0,0,Central Business District
3086,40.4619,-79.9376,0,0,1,1,0,0,0,0,Bloomfield
3087,40.414,-79.9231,0,0,0,0,0,0,0,0,Squirrel Hill South
